ID,Target
1,Alarm-Update
2,HomeAppliance-Control
3,Music-Play
4,Alarm-Update
5,HomeAppliance-Control
6,Calendar-Query
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,FilmTele-Play
11,Alarm-Update
12,Music-Play
13,Weather-Query
14,Alarm-Update
15,Radio-Listen
16,Video-Play
17,Video-Play
18,Weather-Query
19,Travel-Query
20,Other
21,Video-Play
22,FilmTele-Play
23,Music-Play
24,Alarm-Update
25,Alarm-Update
26,FilmTele-Play
27,Video-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Video-Play
35,TVProgram-Play
36,Video-Play
37,Video-Play
38,FilmTele-Play
39,Video-Play
40,Video-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,Calendar-Query
48,FilmTele-Play
49,Travel-Query
50,Other
51,Weather-Query
52,Travel-Query
53,Weather-Query
54,FilmTele-Play
55,Travel-Query
56,Calendar-Query
57,TVProgram-Play
58,Travel-Query
59,Radio-Listen
60,Alarm-Update
61,Weather-Query
62,Travel-Query
63,Music-Play
64,Video-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,FilmTele-Play
69,Calendar-Query
70,Music-Play
71,Music-Play
72,Calendar-Query
73,FilmTele-Play
74,Radio-Listen
75,Alarm-Update
76,Audio-Play
77,Video-Play
78,Music-Play
79,Video-Play
80,Other
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,Weather-Query
85,Other
86,TVProgram-Play
87,Weather-Query
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,Travel-Query
97,Other
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Weather-Query
102,Music-Play
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Calendar-Query
108,Video-Play
109,Travel-Query
110,Alarm-Update
111,Music-Play
112,Radio-Listen
113,HomeAppliance-Control
114,Calendar-Query
115,HomeAppliance-Control
116,Calendar-Query
117,Other
118,Calendar-Query
119,Calendar-Query
120,Weather-Query
121,TVProgram-Play
122,Alarm-Update
123,Calendar-Query
124,Audio-Play
125,FilmTele-Play
126,TVProgram-Play
127,Weather-Query
128,Music-Play
129,Radio-Listen
130,Video-Play
131,Calendar-Query
132,Calendar-Query
133,Alarm-Update
134,Video-Play
135,Audio-Play
136,Video-Play
137,Weather-Query
138,Music-Play
139,Video-Play
140,Other
141,Travel-Query
142,Video-Play
143,Video-Play
144,Alarm-Update
145,FilmTele-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Alarm-Update
149,Other
150,Calendar-Query
151,Radio-Listen
152,Travel-Query
153,FilmTele-Play
154,HomeAppliance-Control
155,Radio-Listen
156,Travel-Query
157,Video-Play
158,Music-Play
159,Video-Play
160,Music-Play
161,Radio-Listen
162,Alarm-Update
163,Other
164,Weather-Query
165,Travel-Query
166,TVProgram-Play
167,Travel-Query
168,Music-Play
169,Travel-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,Audio-Play
174,Alarm-Update
175,Alarm-Update
176,Weather-Query
177,Weather-Query
178,HomeAppliance-Control
179,Alarm-Update
180,Video-Play
181,FilmTele-Play
182,Alarm-Update
183,Alarm-Update
184,HomeAppliance-Control
185,Video-Play
186,HomeAppliance-Control
187,Calendar-Query
188,Music-Play
189,Music-Play
190,Calendar-Query
191,Video-Play
192,Video-Play
193,Weather-Query
194,TVProgram-Play
195,Calendar-Query
196,HomeAppliance-Control
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Travel-Query
201,TVProgram-Play
202,Music-Play
203,Radio-Listen
204,FilmTele-Play
205,HomeAppliance-Control
206,Other
207,FilmTele-Play
208,FilmTele-Play
209,Weather-Query
210,TVProgram-Play
211,Alarm-Update
212,TVProgram-Play
213,Music-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Radio-Listen
217,HomeAppliance-Control
218,Calendar-Query
219,Alarm-Update
220,FilmTele-Play
221,Weather-Query
222,Travel-Query
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,FilmTele-Play
227,Calendar-Query
228,Radio-Listen
229,Video-Play
230,FilmTele-Play
231,Video-Play
232,Travel-Query
233,FilmTele-Play
234,Radio-Listen
235,TVProgram-Play
236,Radio-Listen
237,FilmTele-Play
238,Radio-Listen
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Music-Play
243,Travel-Query
244,Video-Play
245,FilmTele-Play
246,Calendar-Query
247,Video-Play
248,Other
249,FilmTele-Play
250,FilmTele-Play
251,Video-Play
252,Radio-Listen
253,Alarm-Update
254,Other
255,Radio-Listen
256,FilmTele-Play
257,TVProgram-Play
258,Travel-Query
259,Alarm-Update
260,Radio-Listen
261,Video-Play
262,FilmTele-Play
263,FilmTele-Play
264,Music-Play
265,Other
266,TVProgram-Play
267,Other
268,Audio-Play
269,HomeAppliance-Control
270,Travel-Query
271,Alarm-Update
272,TVProgram-Play
273,Radio-Listen
274,Travel-Query
275,Audio-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,FilmTele-Play
281,Music-Play
282,FilmTele-Play
283,Travel-Query
284,Music-Play
285,Weather-Query
286,FilmTele-Play
287,FilmTele-Play
288,Music-Play
289,Travel-Query
290,Weather-Query
291,TVProgram-Play
292,Alarm-Update
293,Music-Play
294,Video-Play
295,Other
296,Music-Play
297,Video-Play
298,Video-Play
299,TVProgram-Play
300,Calendar-Query
301,Radio-Listen
302,Weather-Query
303,Video-Play
304,Other
305,Alarm-Update
306,Radio-Listen
307,Weather-Query
308,Radio-Listen
309,Music-Play
310,Video-Play
311,Radio-Listen
312,Weather-Query
313,Music-Play
314,Video-Play
315,Other
316,Weather-Query
317,Other
318,Weather-Query
319,HomeAppliance-Control
320,Radio-Listen
321,Audio-Play
322,TVProgram-Play
323,TVProgram-Play
324,Audio-Play
325,Weather-Query
326,Alarm-Update
327,HomeAppliance-Control
328,Other
329,FilmTele-Play
330,Weather-Query
331,Radio-Listen
332,Video-Play
333,Calendar-Query
334,FilmTele-Play
335,HomeAppliance-Control
336,FilmTele-Play
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,Audio-Play
341,Audio-Play
342,Video-Play
343,Radio-Listen
344,Music-Play
345,Calendar-Query
346,HomeAppliance-Control
347,FilmTele-Play
348,Radio-Listen
349,Calendar-Query
350,Audio-Play
351,HomeAppliance-Control
352,FilmTele-Play
353,Radio-Listen
354,Music-Play
355,Radio-Listen
356,Weather-Query
357,HomeAppliance-Control
358,Travel-Query
359,FilmTele-Play
360,Calendar-Query
361,Radio-Listen
362,Calendar-Query
363,Travel-Query
364,Radio-Listen
365,Music-Play
366,Other
367,Radio-Listen
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,Alarm-Update
