ID,Target
1,FilmTele-Play
2,HomeAppliance-Control
3,Music-Play
4,Alarm-Update
5,HomeAppliance-Control
6,Audio-Play
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,FilmTele-Play
11,Alarm-Update
12,Music-Play
13,Weather-Query
14,TVProgram-Play
15,Radio-Listen
16,Weather-Query
17,Video-Play
18,Weather-Query
19,Alarm-Update
20,Alarm-Update
21,Video-Play
22,FilmTele-Play
23,FilmTele-Play
24,Alarm-Update
25,Travel-Query
26,Music-Play
27,FilmTele-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,FilmTele-Play
39,FilmTele-Play
40,Video-Play
41,Travel-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,TVProgram-Play
48,FilmTele-Play
49,Music-Play
50,Other
51,HomeAppliance-Control
52,FilmTele-Play
53,Travel-Query
54,FilmTele-Play
55,Video-Play
56,Calendar-Query
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,Other
61,Weather-Query
62,Audio-Play
63,Music-Play
64,Video-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,Weather-Query
69,Video-Play
70,Weather-Query
71,Music-Play
72,Calendar-Query
73,FilmTele-Play
74,Radio-Listen
75,Weather-Query
76,FilmTele-Play
77,Weather-Query
78,FilmTele-Play
79,Video-Play
80,HomeAppliance-Control
81,Video-Play
82,Weather-Query
83,Music-Play
84,HomeAppliance-Control
85,Other
86,Video-Play
87,Travel-Query
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,Travel-Query
97,Other
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Other
102,FilmTele-Play
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Calendar-Query
108,Alarm-Update
109,Weather-Query
110,Weather-Query
111,Audio-Play
112,Audio-Play
113,HomeAppliance-Control
114,Alarm-Update
115,TVProgram-Play
116,FilmTele-Play
117,Other
118,Video-Play
119,Calendar-Query
120,Video-Play
121,FilmTele-Play
