ID,Target
1,TVProgram-Play
2,HomeAppliance-Control
3,Music-Play
4,Travel-Query
5,Travel-Query
6,Other
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,FilmTele-Play
11,Alarm-Update
12,FilmTele-Play
13,Travel-Query
14,Video-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Alarm-Update
20,Video-Play
21,Video-Play
22,FilmTele-Play
23,Video-Play
24,Alarm-Update
25,HomeAppliance-Control
26,Audio-Play
27,FilmTele-Play
28,Video-Play
29,Video-Play
30,Alarm-Update
31,Other
32,Music-Play
33,TVProgram-Play
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,FilmTele-Play
39,TVProgram-Play
40,FilmTele-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,Video-Play
48,FilmTele-Play
49,Travel-Query
50,Other
51,FilmTele-Play
52,Video-Play
53,Weather-Query
54,FilmTele-Play
55,TVProgram-Play
56,Calendar-Query
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,TVProgram-Play
61,Weather-Query
62,Travel-Query
63,FilmTele-Play
64,Video-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,Travel-Query
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,Calendar-Query
73,Radio-Listen
74,Radio-Listen
75,Music-Play
76,Audio-Play
77,Video-Play
78,FilmTele-Play
79,Video-Play
80,FilmTele-Play
81,Music-Play
82,Travel-Query
83,Audio-Play
84,HomeAppliance-Control
85,Audio-Play
86,Video-Play
87,Video-Play
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,HomeAppliance-Control
97,Other
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,FilmTele-Play
102,Radio-Listen
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Calendar-Query
108,Music-Play
109,Travel-Query
110,Weather-Query
111,Audio-Play
112,Radio-Listen
113,HomeAppliance-Control
114,Alarm-Update
115,HomeAppliance-Control
116,HomeAppliance-Control
117,Other
118,Audio-Play
119,Calendar-Query
120,FilmTele-Play
121,TVProgram-Play
122,Radio-Listen
123,Calendar-Query
124,Radio-Listen
125,HomeAppliance-Control
126,TVProgram-Play
127,Travel-Query
128,FilmTele-Play
129,TVProgram-Play
130,Video-Play
131,Calendar-Query
132,Music-Play
133,Alarm-Update
134,Video-Play
135,Audio-Play
136,Video-Play
137,Weather-Query
138,Music-Play
139,Audio-Play
140,Other
141,Travel-Query
142,Video-Play
143,FilmTele-Play
144,Alarm-Update
145,Music-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Alarm-Update
149,Alarm-Update
150,Alarm-Update
151,Radio-Listen
152,Video-Play
153,Other
154,HomeAppliance-Control
155,Radio-Listen
156,Travel-Query
157,Video-Play
158,Music-Play
159,TVProgram-Play
160,Weather-Query
161,Radio-Listen
162,Travel-Query
163,Other
164,HomeAppliance-Control
165,Video-Play
166,Radio-Listen
167,Video-Play
168,Music-Play
169,Weather-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,FilmTele-Play
174,Alarm-Update
175,Alarm-Update
176,Travel-Query
177,Calendar-Query
178,HomeAppliance-Control
179,TVProgram-Play
180,FilmTele-Play
181,FilmTele-Play
182,Alarm-Update
183,Alarm-Update
184,Music-Play
185,FilmTele-Play
186,HomeAppliance-Control
187,Weather-Query
188,Audio-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Video-Play
193,Alarm-Update
194,TVProgram-Play
195,Calendar-Query
196,FilmTele-Play
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Weather-Query
201,TVProgram-Play
202,Music-Play
203,Radio-Listen
204,Music-Play
205,HomeAppliance-Control
206,Other
207,FilmTele-Play
208,Calendar-Query
209,Travel-Query
210,Radio-Listen
211,Alarm-Update
212,TVProgram-Play
213,Audio-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Alarm-Update
217,HomeAppliance-Control
218,Radio-Listen
219,Alarm-Update
220,Travel-Query
221,Weather-Query
222,HomeAppliance-Control
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,FilmTele-Play
227,Weather-Query
228,Radio-Listen
229,Radio-Listen
230,TVProgram-Play
231,Video-Play
232,Weather-Query
233,FilmTele-Play
234,Radio-Listen
235,Alarm-Update
236,FilmTele-Play
237,FilmTele-Play
238,Radio-Listen
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Music-Play
243,Weather-Query
244,Video-Play
245,Video-Play
246,Calendar-Query
247,Video-Play
248,Radio-Listen
249,Alarm-Update
250,Video-Play
251,Music-Play
252,Music-Play
253,Alarm-Update
254,Weather-Query
255,Radio-Listen
256,FilmTele-Play
257,TVProgram-Play
258,Weather-Query
259,Alarm-Update
260,Radio-Listen
261,Travel-Query
262,FilmTele-Play
263,Radio-Listen
264,Video-Play
265,Video-Play
266,Travel-Query
267,Other
268,Audio-Play
269,FilmTele-Play
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,Audio-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,FilmTele-Play
281,Music-Play
282,FilmTele-Play
283,Travel-Query
284,FilmTele-Play
285,Weather-Query
286,Weather-Query
287,FilmTele-Play
288,Music-Play
289,Travel-Query
290,Weather-Query
291,TVProgram-Play
292,Travel-Query
293,Music-Play
294,Video-Play
295,Other
296,FilmTele-Play
297,Video-Play
298,Calendar-Query
299,Video-Play
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,Travel-Query
304,Weather-Query
305,Alarm-Update
306,Video-Play
307,Weather-Query
308,Weather-Query
309,Radio-Listen
310,Video-Play
311,Radio-Listen
312,Travel-Query
313,Music-Play
314,Video-Play
315,Other
316,Weather-Query
317,FilmTele-Play
318,Calendar-Query
319,Video-Play
320,Radio-Listen
321,Audio-Play
322,TVProgram-Play
323,Calendar-Query
324,Audio-Play
325,Video-Play
326,Travel-Query
327,HomeAppliance-Control
328,FilmTele-Play
329,FilmTele-Play
330,Weather-Query
331,TVProgram-Play
332,Calendar-Query
333,Radio-Listen
334,Music-Play
335,HomeAppliance-Control
336,FilmTele-Play
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,Audio-Play
341,Audio-Play
342,Video-Play
343,Radio-Listen
344,Music-Play
345,Calendar-Query
346,HomeAppliance-Control
347,FilmTele-Play
348,TVProgram-Play
349,Calendar-Query
350,Video-Play
351,HomeAppliance-Control
352,FilmTele-Play
353,Radio-Listen
354,Audio-Play
355,Weather-Query
356,Weather-Query
357,HomeAppliance-Control
358,Travel-Query
359,FilmTele-Play
360,Calendar-Query
361,Radio-Listen
362,Calendar-Query
363,Travel-Query
364,Radio-Listen
365,Video-Play
366,Other
367,Radio-Listen
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,FilmTele-Play
375,Travel-Query
376,Video-Play
377,HomeAppliance-Control
378,Travel-Query
379,Weather-Query
380,TVProgram-Play
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,HomeAppliance-Control
385,Music-Play
386,FilmTele-Play
387,Weather-Query
388,Audio-Play
389,Radio-Listen
390,Music-Play
391,Audio-Play
392,Travel-Query
393,FilmTele-Play
394,Alarm-Update
395,TVProgram-Play
396,Radio-Listen
397,FilmTele-Play
398,Calendar-Query
399,Weather-Query
400,FilmTele-Play
401,Audio-Play
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,FilmTele-Play
406,Video-Play
407,Music-Play
408,Radio-Listen
409,Calendar-Query
410,FilmTele-Play
411,Music-Play
412,Music-Play
413,Video-Play
414,Travel-Query
415,FilmTele-Play
416,Alarm-Update
417,Alarm-Update
418,Alarm-Update
419,TVProgram-Play
420,Music-Play
421,Video-Play
422,Video-Play
423,Calendar-Query
424,Video-Play
425,Radio-Listen
426,Music-Play
427,Radio-Listen
428,Radio-Listen
429,Music-Play
430,HomeAppliance-Control
431,Alarm-Update
432,TVProgram-Play
433,Travel-Query
434,HomeAppliance-Control
435,Music-Play
436,Calendar-Query
437,FilmTele-Play
438,Weather-Query
439,Alarm-Update
440,Calendar-Query
441,Music-Play
442,FilmTele-Play
443,Other
444,Alarm-Update
445,Calendar-Query
446,Music-Play
447,Alarm-Update
448,HomeAppliance-Control
449,Audio-Play
450,Radio-Listen
451,Music-Play
452,Video-Play
